Name,OS,Price,Resolution,Screen,Size,Primary,Secondary,Weight,Sensors,Announced
Apple iPhone 6s,"iOS 9, upgradable to iOS 9.2",,750 x 1334 pixels (~326 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",4.7 inches (~65.6% screen-to-body ratio),"12 MP, f/2.2, 29mm, phase detection autofocus, dual-LED (dual tone) flash","5 MP, f/2.2, 31mm, 1080p@30fps, 720p@240fps, face detection, HDR, panorama",143,"Fingerprint, accelerometer, gyro, proximity, compass, barometer","2015, September"
Apple iPhone 6s Plus,"iOS 9, upgradable to iOS 9.2",,1080 x 1920 pixels (~401 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",5.5 inches (~67.7% screen-to-body ratio),"12 MP, f/2.2, 29mm, phase detection autofocus, dual-LED (dual tone) flash","5 MP, f/2.2, 31mm, 1080p@30fps, 720p@240fps, face detection, HDR, panorama",192,"Fingerprint, accelerometer, gyro, proximity, compass, barometer","2015, September"
Apple iPad mini 4,"iOS 9, upgradable to iOS 9.2",,1536 x 2048 pixels (~324 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",7.9 inches (~70.6% screen-to-body ratio),"8 MP, f/2.4, 32mm, autofocus","1.2 MP, 720p@30fps, face detection, HDR, FaceTime over Wi-Fi or Cellular",299,"Fingerprint, accelerometer, gyro, compass, barometer","2015, September"
Apple iPad Pro,"iOS 9, upgradable to iOS 9.2",,2048 x 2732 pixels (~264 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",12.9 inches (~77.0% screen-to-body ratio),"8 MP, f/2.4, 31mm, autofocus","1.2 MP, 720p@30fps, face detection, HDR, FaceTime over Wi-Fi or Cellular",713,"Fingerprint, accelerometer, gyro, compass, barometer","2015, September"
Apple iPhone SE,"iOS 9.3.2, upgradable to iOS 10.1",,640 x 1136 pixels (~326 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",4.0 inches (~60.8% screen-to-body ratio),"12 MP, f/2.2, 29mm, phase detection autofocus, dual-LED (dual tone) flash","1.2 MP, f/2.4, 31mm, 720p@30fps, face detection, HDR, FaceTime over Wi-Fi or Cellular",113,"Fingerprint, accelerometer, gyro, proximity, compass","2016, March"
Apple iPad Pro 9.7,"iOS 9.3.2, upgradable to iOS 10.1",,1536 x 2048 pixels (~264 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",9.7 inches (~71.6% screen-to-body ratio),"12 MP, f/2.2, 29mm, phase detection autofocus, dual-LED (dual tone) flash","5 MP, f/2.2, 31mm, 1080p@30fps, 720p@240fps, face detection, HDR, panorama",437,"Fingerprint, accelerometer, gyro, compass, barometer","2016, March"
Apple iPhone 8 Plus,iOS 11,,1080 x 1920 pixels (~380 ppi pixel density),"Super AMOLED capacitive touchscreen, 16M colors",5.8 inches,"Dual 12 MP, (28mm, f/1.8, OIS & 56mm, f/2.8), phase detection autofocus, 2x optical zoom, quad-LED (dual tone) flash","7 MP, f/1.8, 32mm, 1080p@30fps, 720p@240fps, face detection, HDR, panorama",-,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",Not announced yet
Apple iPhone 7 Plus,"iOS 10.0.1, upgradable to iOS 10.3",,1080 x 1920 pixels (~401 ppi pixel density),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",5.5 inches (~67.7% screen-to-body ratio),"Dual 12 MP, (28mm, f/1.8, OIS & 56mm, f/2.8), phase detection autofocus, 2x optical zoom, quad-LED (dual tone) flash, check quality","7 MP, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, HDR, panorama",188,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer","2016, September"
Samsung SGH-250,,,3 x 12 chars,Alphanumeric,,,,179,,1996
Samsung SGH-500,,,"78 x 42 pixels, 4 lines",Monochrome graphic,,,,115,,1998
Samsung SGH-600,,,"96 x 32 pixels, 4 lines",Monochrome graphic,,,,95,,1999
Samsung SGH-800,,,"128 x 64 pixels, 8 lines",Monochrome graphic,,,,104,,2000
Samsung SGH-2100,,,"115 x 60 pixels, 4 lines",Monochrome graphic,,,,111,,1999
Samsung SGH-810,,,"128 x 64 pixels, 8 lines",Monochrome graphic,,,,104,,2000
Samsung SGH-2200,,,"115 x 60 pixels, 4 lines",Monochrome graphic,,,,111,,1999
Samsung SGH-2400,,,"115 x 60 pixels, 4 lines",Monochrome graphic,,,,90,,1999
Samsung A100,,,"115 x 60 pixels, 4 lines",Monochrome graphic,,,,87,,2000
Samsung A110,,,"115 x 60 pixels, 4 lines",Monochrome graphic,,,,87,,2000
Samsung M100,,,"128 x 64 pixels, 4 lines",Monochrome graphic,,,,97,,2000
Samsung N100,,,"124 x 64 pixels, 4 lines",Monochrome graphic,,,,83,,2000
Samsung Q100,,,128 x 128 pixels,Monochrome graphic,,,,85,,2001
Samsung A200,,,128 x 64 pixels,"Grayscale graphic, 4 shades",,,,77,,2001
Samsung N300,,,"124 x 64 pixels, 8 lines","Grayscale graphic, 4 shades",,,,85,,2001
Samsung A300,,,128 x 128 pixels,"Grayscale graphic, 4 shades",,,,77,,2001
Samsung A400,,,"128 x  96 pixels, 6 lines","Grayscale graphic, 4 shades",,,,80,,"4Q, 2001"
Samsung N400,,,"128 x 128 pixels, 8 lines","Grayscale graphic, 4 shades",,,,91,,2001
Samsung R200,,,128 x 64 pixels,Monochrome graphic,,,,99,,2001
Samsung R210,,,128 x 64 pixels,Monochrome graphic,,,,99,,2001
Samsung R220,,,128 x 64 pixels,Monochrome graphic,,,,99,,2001
Samsung N105,,,"124 x 64 pixels, 5 lines",Monochrome graphic,,,,83,,2001
Samsung Q105,,,"128 x 128 pixels, 6 lines","Grayscale graphic, 4 shades",,,,85,,2001
Samsung Q200,,,128 x 128 pixels,"Grayscale graphic, 4 shades",,,,90,,2002
Samsung T100,,,"128 x 160 pixels, 12 lines","TFT, 4096 colors",,,,94,,2002
Samsung N620,,,128 x 64 pixels,Monochrome graphic,,,,83,,2002
Samsung A500,,,128 x  128 pixels,"Grayscale graphic, 4 shades",,,,75,,2002
Samsung Q300,,,"16 lines, 128 x 128 pixels","Grayscale graphic, 4 shades",,,,89,,2002
Samsung S100,,,128 x 160 pixels,"STN, 65K colors",,,,92,,2002
Samsung V100,,,176 x 220 pixels,"TFT, 65K colors",,,,97,,2002
Samsung N500,,,128 x 64 pixels,Monochrome graphic,,,,95,,2002
Samsung A800,,,128 x 128 pixels,"Grayscale graphic, 4 shades",,,,68,,"4Q, 2002"
Samsung T400,,,128 x 144 pixels,"TFT, 65K colors",,,,80,,"2002, 4Q"
Samsung T700,,,128 x 128 pixels,"TFT, 65K colors",,,,76,,"1Q, 2003"
Samsung S300,,,128 x 128 pixels,"UFB, 65K colors",,,,70,,2003
Samsung P400,,,"128 x 160 pixels, 7 lines","TFD, 65K colors",,"CIF, 180 deg rotating lens",No,105,,"1Q, 2003"
Samsung T500,,,128 x 128 pixels,"CSTN, 65K colors",,,,80,,"1Q, 2003"
Samsung T200,,,"128 x 160 pixels, 12 lines","UFB, 65K Colors",,,,99,,"2002, 4Q"
Samsung V200,,,"128 x 160 pixels, 7 lines","TFD, 65K colors",,CIF,No,96,,"1Q, 2003"
Samsung E400,,,128 x 144 pixels,"UFB, 65K colors",,,,88,,"2003, 2Q"
Samsung X400,,,"128 x 160 pixels, 7 lines","TFT, 65K colors",,,,90,,"2003, 2Q"
Samsung P500,,,128 x 160 pixels,"TFD, 65K colors",,VGA,No,93,,"2003, 2Q"
Samsung X410,,,128 x 160 pixels,"TFT, 65K colors",,,,90,,"2003, 2Q"
Samsung D700,"Symbian OS, Series 60 UI",,176 x 208 pixels,"TFT, 65K colors",,VGA,No,110,,"2003, 3Q"
Samsung i500,Palm OS v5.2,,162 x 176 pixels,"TFT resistive touchscreen, 65K colors",,VGA,No,150,,"2004, March"
Samsung i700,Microsoft Windows PocketPC 2003 Phone edition,,240 x 320 pixels,"TFT resistive touchscreen, 65K colors",,VGA,No,180,,"2004, March"
Samsung C100,,,"128 x 128 pixels, 5 lines","UFB, 65K colors",,,,76,,"2003, 2Q"
Samsung S200,,,128 x 144 pixels,"UFB, 65K colors",,,,75,,2003
Samsung P100,,,128 x 160 pixels,"TFD, 65K colors",,CIF,No,93,,"3Q, 2003"
Samsung E105,,,128 x 160 pixels,"UFB, 65K colors",,,,81,,"2003, 3Q"
Samsung E715,,,"128 x 160 pixels, 6 lines","TFT, 65K colors",,"VGA, LED flash",No,85,,"2003, 3Q"
Samsung D100,,,"128 x 160 pixels, 7 lines","TFD, 65K colors",,,,88,,"2003, 3Q"
Samsung X100,,,"128 x 128 pixels, 4 lines (~106 ppi pixel density)","CSTN, 65K colors",1.7 inches (~18.8% screen-to-body ratio),,,83,,"2003, 3Q"
Samsung X600,,,"128 x 128 pixels, 4 lines","UFB, 65K colors",,VGA,No,80,,"2003, 3Q"
Samsung S500,,,"128 x 160 pixels, 8 lines","TFT, 65K colors",,,,80,,2003
Samsung E100,,,"128 x 160 pixels, 8 lines","TFD, 65K colors",,,,80,,"2003, 3Q"
Samsung P705,,,176 x 220 pixels,"TFT, 256K colors",,,,130,,"2003, 4Q"
Samsung Z100,,,"128 x 160 pixels, 7 lines","TFT, 256K colors",,CIF,No,124,,"1Q, 2003"
Samsung D410,,,"176 x 220 pixels, 8 lines (~134 ppi pixel density)","TFD, 256K colors",2.1 inches (~29.8% screen-to-body ratio),VGA,No,116,,"4Q, 2003"
Samsung E700,,,"128 x 160 pixels, 6 lines","TFT, 65K colors",,VGA,No,85,,"2003, 3Q"
Samsung X430,,,128 x 128 pixels,"UFB, 65K colors",,,,73,,"2003, 4Q"
Samsung E600,,,128 x 128 pixels,"TFT, 65K colors",,VGA,No,85,,"2003, 4Q"
Samsung E410,,,128 x 128 pixels,"UFB, 65K colors",,,,80,,"2004, 1Q"
Samsung X450,,,"128 x 160 pixels, 6 lines","UFB, 65K colors",,,,79,,"2003, 4Q"
Samsung i505,Palm OS v5.2.1,,"162 x 176 pixels (324 x 352 support), 14 lines","TFT resistive  touchscreen, 65K colors",,"VGA, LED flash",No,147,,"2004, 1Q"
Samsung Z105,,,"176 x 192  pixels, 7 lines","TFT, 256K colors",,"VGA, 180 deg. rotating lens",No,132,,"1Q, 2004"
Samsung P510,,,"128 x 160 pixels, 6 lines","TFT, 65K colors",,"VGA, LED flash",No,92,,"2004, 1Q"
Samsung P730,,,176 x 220 pixels,"TFD, 256K colors",,1 MP,No,123,,"2004, March"
Samsung E800,,,"128 x 160 pixels, 5 lines (~121 ppi pixel density)","TFT, 65K colors",1.7 inches (~23.8% screen-to-body ratio),"VGA, LED flash",No,86,,"2004, March"
Samsung P710,,,176 x 220 pixels,"TFT, 256K colors",,VGA,No,90,,"2004, March"
Samsung E810,,,"128 x 160 pixels, 7 lines (~121 ppi pixel density)","TFT, 65K colors",1.7 inches (~23.5% screen-to-body ratio),"VGA, LED flash",No,86,,"2004, March"
Samsung E300,,,128 x 160 pixels,"TFT, 65K colors",,VGA,No,85,,"2004, 1Q"
Samsung D710,"Symbian OS v7.0s, Series 60 UI",,208 x 176 pixels,"TFT, 256K colors",,"1 MP, LED flash",No,110,,"2004, 1Q"
Samsung X900,,,176 x 220 pixels,"TFT, 256K colors",,VGA,No,116,,"2004, 1Q"
Samsung X910,,,128 x 160 pixels,"TFT, 256K colors",,"VGA, 180 deg. rotating lens",No,129,,"2004, 1Q"
Samsung C110,,,"128 x 128 pixels, 5 lines (~121 ppi pixel density)","UFB, 65K colors",1.5 inches (~14.5% screen-to-body ratio),,,76,,"2004, 1Q"
Samsung E610,,,"176 x 220 pixels, 6 lines","TFT, 256K colors",,"VGA, LED flash",No,84,,"2004, 1Q"
Samsung X120,,,128 x 128 pixels (~101 ppi pixel density),"OLED, 65K colors",1.8 inches (~21.5% screen-to-body ratio),,,76,,"2004, 1Q"
Samsung X610,,,"128 x 128 pixels, 5 lines (~121 ppi pixel density)","TFT, 65K colors",1.5 inches (~14.2% screen-to-body ratio),"VGA, 180 deg. rotating lens",No,76,,"2004, 1Q"
Samsung i250,Microsoft Smartphone 2003,,176 x 220 pixels,"TFT, 65K colors",,"1 MP, LED flash",No,130,,"2004, 1Q"
Samsung E500,,,176 x 220 pixels (~160 ppi pixel density),"TFT, 256K colors",1.76 inches (~25.8% screen-to-body ratio),1.3 MP,No,77,,"2006, May"
Samsung E310,,,"128 x 160 pixels, 7 lines","TFT, 65K colors",,VGA,No,90,,"2004, 1Q"
Samsung E330,,,128 x 160 pixels,"UFB, 65K colors",,"VGA, LED flash",No,85,,"2004, 1Q"
Samsung X460,,,"128 x 160 pixels, 6 lines","UFB, 65K colors",,,,75,,"2004, 3Q"
Samsung D500,,,176 x 220 pixels (~148 ppi pixel density),"TFT, 256K colors",1.9 inches (~26.6% screen-to-body ratio),"1.3 MP, LED flash",No,99,,"2004, 4Q"
Samsung C200,,,"128 x 128 pixels, 5 lines (~113 ppi pixel density)","UFB, 65K colors",1.6 inches (~18.3% screen-to-body ratio),,,69,,"2004, 4Q"
Samsung E630,,,"128 x 160 pixels, 6 lines (~121 ppi pixel density)","TFT, 65K colors",1.7 inches (~24.9% screen-to-body ratio),"VGA, LED flash",No,79,,"2004, 4Q"
Samsung E850,,,"128 x 160 pixels, 10 lines (~121 ppi pixel density)","TFT, 65K colors",1.7 inches (~23.0% screen-to-body ratio),"VGA, pop-out rotating lens",No,85,,"2004, 4Q"
Samsung D488,,,"128 x 160 pixels, 7 lines","TFT, 65K colors",,VGA,No,95,,"2004, 4Q"
Samsung D428,,,"176 x 220 pixels, 7 lines (~128 ppi pixel density)","TFT resistive touchscreen, 256K colors",2.2 inches (~30.8% screen-to-body ratio),"VGA, 180 deg. rotating lens, LED flash",No,127,,"2004, 4Q"
Samsung Z107,,,"176 x 192  pixels, 8 lines","TFT, 256K colors",,"VGA, 180 deg. rotating lens, LED flash",No,115,,"4Q, 2004"
Samsung E720,,,"176 x 220 pixels, 9 lines","TFT, 256K colors",,"1 MP, LED flash",No,80,,"2005, 1Q"
Samsung X480,,,"128 x 160 pixels, 10 lines","UFB, 65K colors",,,,75,,"2005, 1Q"
Samsung X640,,,"128 x 160 pixels, 8 lines","UFB, 65K colors",,VGA,No,85,,"2005, 1Q"
Samsung SCH-B100,,,320 x 240 pixels,"TFT, 256K colors",,"1 MP, LED flash",No,171,,"2005, 1Q"
Samsung E350,,,128 x 160 pixels (~128 ppi pixel density),"TFT, 65K colors",1.6 inches (~22.0% screen-to-body ratio),"VGA, LED flash",No,78,,"2005, 1Q"
Samsung Z300,,,176 x 220 pixels (~141 ppi pixel density),"TFT, 256K colors","2.0 inches, 31 x 39 mm (~30.1% screen-to-body ratio)","1MP, LED flash",VGA videocall camera,115,,"2005, 1Q"
Samsung Z500,,,176 x 220 pixels,"TFT, 256K colors",,1MP,VGA videocall camera,95,,"2005, 1Q"
Samsung Z130,,,176 x 220 pixels,"TFT, 256K colors",,"1 MP, LED flash",No,120,,"2005, 1Q"
Huawei T201,,,128 x 128 pixels (~121 ppi pixel density),"CSTN, 65K colors",1.5 inches,,,-,,2008
Huawei T330,,,128 x 128 pixels (~121 ppi pixel density),"CSTN, 65K colors",1.5 inches,,,-,,"2008, Q3"
Huawei T161L,,,68 x 96 pixels (~84 ppi pixel density),Monochrome graphics,1.4 inches,,,-,,"2008, Q3"
Huawei T211,,,128 x 128 pixels (~121 ppi pixel density),"CSTN, 65K colors",1.5 inches,,,-,,"2008, Q3"
Huawei T261L,,,128 x 128 pixels (~121 ppi pixel density),"CSTN, 65K colors",1.5 inches,,,-,,"2008, Q3"
Huawei T208,,,128 x 128 pixels (~121 ppi pixel density),"CSTN, 65K colors",1.5 inches (~15.8% screen-to-body ratio),,,75,,2008
Huawei T158,,,68 x 96 pixels (~84 ppi pixel density),Monochrome graphics,1.4 inches (~12.9% screen-to-body ratio),,,80,,2008
Huawei T156,,,68 x 96 pixels (~84 ppi pixel density),Monochrome graphics,1.4 inches (~12.8% screen-to-body ratio),,,75,,2008
Huawei U1000,,,128 x 128 pixels (~121 ppi pixel density),"CSTN, 65K colors",1.5 inches,,,,,"2008, Q3"
Huawei U1100,,,176 x 220 pixels (~157 ppi pixel density),"TFT, 65K colors",1.8 inches,,,,,2008
Huawei U1310,,,240 x 320 pixels (~182 ppi pixel density),"TFT, 65K colors",2.2 inches (~29.2% screen-to-body ratio),2 MP,VGA videocall camera,,,"2008, Q2"
Huawei U3300,,,176 x 220 pixels (~141 ppi pixel density),"TFT, 65K colors",2.0 inches (~27.7% screen-to-body ratio),2 MP,VGA videocall camera,,,"2008, Q2"
Huawei U120,,,176 x 220 pixels (~157 ppi pixel density),"TFT, 256K colors",1.8 inches (~21.3% screen-to-body ratio),1.3 MP,VGA videocall camera,90,,"2007, Q1"
Huawei U121,,,176 x 220 pixels (~157 ppi pixel density),"TFT, 256K colors",1.8 inches (~22.0% screen-to-body ratio),1.3 MP,VGA videocall camera,90,,"2007, Q2"
Huawei U7310,,,240 x 320 pixels (~167 ppi pixel density),"TFT, 65K colors",2.4 inches (~38.5% screen-to-body ratio),"3.2 MP, autofocus",VGA videocall camera,,,"2008, Q2"
Huawei G6600 Passport,,,320 x 240 pixels (~167 ppi pixel density),"TFT, 256K colors",2.4 inches (~26.2% screen-to-body ratio),2 MP,No,102,,"2009, December. Released 2010, Q1"
Huawei U7510,,,240 x 320 pixels (~143 ppi pixel density),"TFT touchscreen, 256K colors",2.8 inches (~40.1% screen-to-body ratio),2 MP,Yes,-,,"2009, September. Released 2009, November"
Huawei U1250,,,240 x 320 pixels (~200 ppi pixel density),"TFT, 256K colors",2.0 inches (~25.4% screen-to-body ratio),2 MP,Yes,90,,"2009, February. Released 2009, July"
Huawei U9150,,,320 x 240 pixels (~167 ppi pixel density),"TFT, 256K colors",2.4 inches,2 MP,CIF,-,,"2009, February. Released 2009, August"
Huawei T552,,,240 x 400 pixels (~155 ppi pixel density),"TFT touchscreen, 256K colors",3.0 inches (~43.7% screen-to-body ratio),3.15 MP,Yes,110,,2009
Huawei U8220,"Android OS, v1.5 (Cupcake)",,320 x 480 pixels (~165 ppi pixel density),"TFT capacitive touchscreen,  256K colors (65K effective)",3.5 inches (~49.9% screen-to-body ratio),"3.15 MP, autofocus",No,135,Accelerometer,"2009, August. Released 2009, October"
Huawei U8100,"Android OS, v2.1 (Eclair)",,240 x 320 pixels (~143 ppi pixel density),"TFT touchscreen, 256K colors",2.8 inches (~39.6% screen-to-body ratio),"3.15 MP, LED flash",VGA,104,Accelerometer,"2010, February"
Huawei U8110,"Android OS, v2.1 (Eclair)",,240 x 320 pixels (~143 ppi pixel density),"TFT resistive touchscreen, 256K colors",2.8 inches (~40.2% screen-to-body ratio),"3.15 MP, LED flash",VGA,110,Accelerometer,"2010, February"
Huawei U8300,"Android OS, v2.1 (Eclair)",,320 x 240 pixels (~154 ppi pixel density),"TFT touchscreen, 256K colors",2.6 inches (~34.8% screen-to-body ratio),"3.15 MP, LED flash",No,104,"Accelerometer, proximity, compass","2010, February"
Huawei U8230,"Android OS, v2.1 (Eclair)",,320 x 480 pixels (~165 ppi pixel density),"TFT touchscreen, 256K colors",3.5 inches (~49.5% screen-to-body ratio),"3.15 MP, autofocus",VGA,-,Accelerometer,"2009, June. Released 2009"
Huawei U9130 Compass,,,320 x 240 pixels (~167 ppi pixel density),"TFT, 256K colors",2.4 inches (~25.5% screen-to-body ratio),3.15 MP,No,102,,"2009, December. Released 2010, Q1"
Huawei G7002,,,,"TFT resistive touchscreen, 65K colors",,1.3 MP,No,95,,"2010, June"
Huawei U8500 IDEOS X2,"Android OS, v2.1 (Eclair), upgradable to v2.2 (Froyo)",,320 x 480 pixels (~180 ppi pixel density),"TFT capacitive touchscreen, 256K colors",3.2 inches (~46.9% screen-to-body ratio),3.15 MP,No,115,"Accelerometer, proximity, compass","2010, June"
Huawei U8150 IDEOS,"Android OS, v2.2 (Froyo)",,240 x 320 pixels (~143 ppi pixel density),"TFT capacitive touchscreen, 256K colors",2.8 inches (~42.6% screen-to-body ratio),3.15 MP,No,102,"Accelerometer, proximity, compass","2010, September"
Huawei U9000 IDEOS X6,"Android OS, v2.2 (Froyo)",,480 x 800 pixels (~228 ppi pixel density),"TFT capacitive touchscreen, 16M colors",4.1 inches (~59.4% screen-to-body ratio),"5 MP, autofocus, LED flash",VGA videocall camera,143,"Accelerometer, gyro, proximity, compass","2010, December"
Huawei U8800 IDEOS X5,"Android OS, v2.2 (Froyo), upgradable to v2.3 (Gingerbread)",,480 x 800 pixels (~246 ppi pixel density),"TFT capacitive touchscreen, 16M colors",3.8 inches (~55.2% screen-to-body ratio),"5 MP, autofocus, LED flash",No,130,"Accelerometer, proximity, compass","2010, December"
Huawei IDEOS S7,"Android OS, v2.1 (Eclair), upgradable to v2.2 (Froyo)",,480 x 800 pixels (~133 ppi pixel density),"TFT resistive touchscreen, 256K colors",7.0 inches (~61.8% screen-to-body ratio),2 MP,No,500,Accelerometer,"2010, January"
Huawei U1270,,,240 x 320 pixels (~200 ppi pixel density),"TFT, 256K colors",2.0 inches (~24.8% screen-to-body ratio),2 MP,Yes,80,,"2009, September. Released 2009, December"
Huawei IDEOS S7 Slim,"Android OS, v2.2 (Froyo)",,480 x 800 pixels (~133 ppi pixel density),"TFT capacitive touchscreen, 256K colors",7.0 inches (~63.7% screen-to-body ratio),3.15 MP,VGA,440,"Accelerometer, compass","2011, February"
Huawei U8510 IDEOS X3,"Android OS, v2.3 (Gingerbread)",,320 x 480 pixels (~180 ppi pixel density),"TFT capacitive touchscreen, 16M colors",3.2 inches (~49.1% screen-to-body ratio),"3.15 MP, autofocus",VGA,104,"Accelerometer, proximity, compass","2011, February. Released 2011, July"
Huawei U7520,,,240 x 320 pixels (~143 ppi pixel density),"TFT resistive touchscreen, 256K colors",2.8 inches (~40.9% screen-to-body ratio),3.15 MP,No,105,Accelerometer,2010
Huawei IDEOS S7 Slim CDMA,"Android OS, v2.2 (Froyo)",,480 x 800 pixels (~133 ppi pixel density),"TFT capacitive touchscreen, 256K colors",7.0 inches (~63.7% screen-to-body ratio),3.15 MP,Yes,440,"Accelerometer, compass","2011, February. Released 2011, Q3"
Huawei G6150,,,320 x 240 pixels (~166 ppi pixel density),"TFT, 256K colors",2.41 inches (~27.0% screen-to-body ratio),1.3 MP,No,-,,"2010, September"
Huawei U5900s,,,240 x 320 pixels (~167 ppi pixel density),"TFT, 256K colors",2.4 inches (~33.3% screen-to-body ratio),2 MP,VGA videocall camera,112,,"2011, Q1"
Huawei G7010,,,240 x 320 pixels (~143 ppi pixel density),"TFT resistive touchscreen, 256K colors",2.8 inches (~42.0% screen-to-body ratio),1.3 MP,No,100,,"2010, November"
Huawei U3100,,,240 x 320 pixels (~200 ppi pixel density),"TFT, 256K colors",2.0 inches (~25.4% screen-to-body ratio),VGA,Yes,90,,2010. Released 2010
Huawei G6608,,,320 x 240 pixels (~167 ppi pixel density),"TFT, 256K colors",2.4 inches (~26.5% screen-to-body ratio),3.15 MP,No,93,,"2011, Q2"
Huawei Ascend II,"Android OS, v2.3 (Gingerbread)",,320 x 480 pixels (~165 ppi pixel density),"TFT capacitive touchscreen, 256K colors",3.5 inches (~51.1% screen-to-body ratio),5 MP,No,120,"Accelerometer, proximity, compass","2011, July"
Huawei C3200,,,128 x 128 pixels (~123 ppi pixel density),"CSTN, 65K colors",1.47 inches (~14.3% screen-to-body ratio),VGA,No,80,,2010
Huawei U8850 Vision,"Android OS, v2.3.4 (Gingerbread)",,480 x 800 pixels (~252 ppi pixel density),"TFT capacitive touchscreen, 256K colors",3.7 inches (~55.1% screen-to-body ratio),"5 MP, autofocus, LED flash",VGA,121,"Accelerometer, proximity, compass","2011, August"
Huawei Impulse 4G,"Android OS, v2.2 (Froyo)",,480 x 800 pixels (~246 ppi pixel density),"TFT capacitive touchscreen, 16M colors",3.8 inches (~52.7% screen-to-body ratio),"5 MP, autofocus, LED flash",No,130,"Accelerometer, proximity, compass","2011, September"
Huawei G5500,,,176 x 220 pixels (~141 ppi pixel density),"TFT, 256K colors",2.0 inches (~26.1% screen-to-body ratio),1.3 MP,No,85,,"2011, Q2"
Huawei G7206,,,240 x 320 pixels (~143 ppi pixel density),"TFT resistive touchscreen, 256K colors",2.8 inches (~40.9% screen-to-body ratio),1.3 MP,No,89,,"2011, Q2"
Huawei U8860 Honor,"Android OS, v2.3 (Gingerbread), upgradable to v4.0 (Ice Cream Sandwich)",,480 x 854 pixels (~245 ppi pixel density),"TFT capacitive touchscreen, 16M colors",4.0 inches (~59.2% screen-to-body ratio),"8 MP, autofocus, LED flash",VGA,140,"Accelerometer, gyro, proximity, compass","2011, September"
Huawei U8180 IDEOS X1,"Android OS, v2.2 (Froyo)",,240 x 320 pixels (~143 ppi pixel density),"TFT capacitive touchscreen, 256K colors",2.8 inches (~41.7% screen-to-body ratio),3.15 MP,No,100,"Accelerometer, proximity, compass","2011, May"
Huawei U8650 Sonic,"Android OS, v2.3.3 (Gingerbread)",,320 x 480 pixels (~165 ppi pixel density),"TFT capacitive touchscreen, 256K colors",3.5 inches (~51.8% screen-to-body ratio),3.15 MP,No,120,"Accelerometer, proximity, compass","2011, July"
Huawei G6620,,,320 x 240 pixels (~167 ppi pixel density),"TFT, 256K colors",2.4 inches (~28.0% screen-to-body ratio),1.3 MP,No,-,,"2011, July"
Huawei U8800 Pro,"Android OS, v2.3 (Gingerbread)",,480 x 800 pixels (~246 ppi pixel density),"TFT capacitive touchscreen, 16M colors",3.8 inches (~55.2% screen-to-body ratio),"5 MP, autofocus, LED flash",No,130,"Accelerometer, proximity, compass","2011, Q2"
Huawei U8350 Boulder,"Android OS, v2.2 (Froyo)",,320 x 240 pixels (~154 ppi pixel density),"TFT capacitive touchscreen, 256K colors",2.6 inches (~29.0% screen-to-body ratio),3.2 MP,No,105,"Accelerometer, proximity, compass",2011
Huawei U8520 Duplex,"Android OS, v2.2 (Froyo)",,320 x 480 pixels (~180 ppi pixel density),"TFT capacitive touchscreen, 256K colors",3.2 inches (~47.8% screen-to-body ratio),3.15 MP,VGA,109,"Accelerometer, proximity, compass","2011, October"
Huawei MediaPad,"Android OS, v3.2 (Honeycomb), upgradable to v4.0 (Ice Cream Sandwich)",,800 x 1280 pixels (~216 ppi pixel density),"IPS LCD capacitive touchscreen, 256K colors",7.0 inches (~60.3% screen-to-body ratio),"5 MP, autofocus","1.3 MP, 720p@30fps",390,"Accelerometer, gyro, compass","2011, Q3"
Huawei MediaPad S7-301w,"Android OS, v3.2 (Honeycomb), upgradable to v4.0 (Ice Cream Sandwich)",,800 x 1280 pixels (~216 ppi pixel density),"IPS LCD capacitive touchscreen, 256K colors",7.0 inches (~60.3% screen-to-body ratio),"5 MP, autofocus, LED flash","1.3 MP, 720p@30fps",390,"Accelerometer, gyro, compass","2011, Q3"
Huawei Pillar,,,320 x 240 pixels (~200 ppi pixel density),"TFT, 256K colors",2.0 inches (~18.6% screen-to-body ratio),VGA,No,99,,"2011, September"
Huawei G7005,,,240 x 320 pixels (~167 ppi pixel density),"TFT touchscreen, 256K colors",2.4 inches (~37.6% screen-to-body ratio),1.3 MP,No,75,,"2011, November"
Huawei G7300,,,320 x 480 pixels (~165 ppi pixel density),"TFT touchscreen, 256K colors",3.5 inches (~52.2% screen-to-body ratio),3.15 MP,No,110,,"2011, November"
Huawei M886 Mercury,"Android OS, v2.3.3 (Gingerbread)",,480 x 854 pixels (~245 ppi pixel density),"TFT capacitive touchscreen, 16M colors",4.0 inches (~59.2% screen-to-body ratio),"8 MP, autofocus, LED flash",VGA,139,"Accelerometer, gyro, proximity, compass","2011, December"
